PORT,PORT_NAME,year_month,import_ves_val,import_ves_wgt,export_ves_val,export_ves_wgt,total_ves_val,total_ves_wgt
-,TOTAL FOR ALL PORTS,2019-07,102284773621.0,54603686528.0,47907237094.0,62126119608.0,150192010715.0,116729806136.0
-,TOTAL FOR ALL PORTS,2019-08,98843465237.0,52353218272.0,49806758472.0,68089027897.0,148650223709.0,120442246169.0
-,TOTAL FOR ALL PORTS,2019-09,89738257650.0,46739936562.0,46553223018.0,63696094934.0,136291480668.0,110436031496.0
-,TOTAL FOR ALL PORTS,2019-10,92679726358.0,49460300528.0,51267569190.0,68373351399.0,143947295548.0,117833651927.0
-,TOTAL FOR ALL PORTS,2019-11,84938989299.0,45988220045.0,51003413976.0,67764772464.0,135942403275.0,113752992509.0
-,TOTAL FOR ALL PORTS,2019-12,86361437012.0,48192880970.0,50021386975.0,69862286764.0,136382823987.0,118055167734.0
-,TOTAL FOR ALL PORTS,2020-01,88185442176.0,48267931246.0,46206683382.0,67446315732.0,134392125558.0,115714246978.0
-,TOTAL FOR ALL PORTS,2020-02,75519983192.0,42768263669.0,46596935812.0,66261198546.0,122116919004.0,109029462215.0
-,TOTAL FOR ALL PORTS,2020-03,77163624512.0,45393639829.0,47930969388.0,70880081961.0,125094593900.0,116273721790.0
-,TOTAL FOR ALL PORTS,2020-04,73953653015.0,42872996748.0,37279085949.0,62799913314.0,111232738964.0,105672910062.0
-,TOTAL FOR ALL PORTS,2020-05,66425378713.0,46416492192.0,34008212642.0,59272339356.0,100433591355.0,105688831548.0
-,TOTAL FOR ALL PORTS,2020-06,70605947773.0,45955801434.0,34365219434.0,57290996068.0,104971167207.0,103246797502.0
-,TOTAL FOR ALL PORTS,2020-07,83899629933.0,45382551768.0,38974019825.0,61228811019.0,122873649758.0,106611362787.0
-,TOTAL FOR ALL PORTS,2020-08,89736730676.0,45547185082.0,41764655094.0,64783133283.0,131501385770.0,110330318365.0
-,TOTAL FOR ALL PORTS,2020-09,90218734176.0,45387550119.0,41265862628.0,64610870828.0,131484596804.0,109998420947.0
-,TOTAL FOR ALL PORTS,2020-10,95649716248.0,45875989689.0,46745298327.0,70702752365.0,142395014575.0,116578742054.0
-,TOTAL FOR ALL PORTS,2020-11,90255231239.0,44555888108.0,46842156439.0,71488969861.0,137097387678.0,116044857969.0
-,TOTAL FOR ALL PORTS,2020-12,93418090900.0,44478685740.0,49279208949.0,77516284711.0,142697299849.0,121994970451.0
-,TOTAL FOR ALL PORTS,2021-01,90965615031.0,45530142348.0,47851081502.0,72806184289.0,138816696533.0,118336326637.0
-,TOTAL FOR ALL PORTS,2021-02,81573743875.0,39878900275.0,43738193844.0,59863529774.0,125311937719.0,99742430049.0
-,TOTAL FOR ALL PORTS,2021-03,106140572465.0,50605252314.0,52194437769.0,70255521105.0,158335010234.0,120860773419.0
-,TOTAL FOR ALL PORTS,2021-04,101879416743.0,52217920898.0,51420694073.0,70038450750.0,153300110816.0,122256371648.0
-,TOTAL FOR ALL PORTS,2021-05,106128310048.0,54268669434.0,53962149775.0,71624782916.0,160090459823.0,125893452350.0
-,TOTAL FOR ALL PORTS,2021-06,105511912399.0,54163400895.0,52104122511.0,69935813637.0,157616034910.0,124099214532.0
-,TOTAL FOR ALL PORTS,2021-07,109475419524.0,55224540970.0,50611923690.0,65921138234.0,160087343214.0,121145679204.0
-,TOTAL FOR ALL PORTS,2021-08,112622952486.0,53673993519.0,53295417348.0,67484320997.0,165918369834.0,121158314516.0
-,TOTAL FOR ALL PORTS,2021-09,108281927687.0,52286237251.0,48623132853.0,59016257507.0,156905060540.0,111302494758.0
-,TOTAL FOR ALL PORTS,2021-10,108395083672.0,49751194026.0,61409214202.0,73386971603.0,169804297874.0,123138165629.0
-,TOTAL FOR ALL PORTS,2021-11,109298722590.0,51405919224.0,61147293053.0,75075441161.0,170446015643.0,126481360385.0
-,TOTAL FOR ALL PORTS,2021-12,109020966608.0,49679835819.0,58763835874.0,75748666198.0,167784802482.0,125428502017.0
-,TOTAL FOR ALL PORTS,2022-01,112325008392.0,50000104738.0,57333227881.0,70874704850.0,169658236273.0,120874809588.0
-,TOTAL FOR ALL PORTS,2022-02,104813999855.0,46667831962.0,58021058463.0,66341283881.0,162835058318.0,113009115843.0
-,TOTAL FOR ALL PORTS,2022-03,126903432078.0,52180183528.0,69750884491.0,74449202559.0,196654316569.0,126629386087.0
-,TOTAL FOR ALL PORTS,2022-04,122826449911.0,51509200535.0,72546263137.0,75582829449.0,195372713048.0,127092029984.0
-,TOTAL FOR ALL PORTS,2022-05,132913197644.0,54369648705.0,73723240325.0,74995635847.0,206636437969.0,129365284552.0
-,TOTAL FOR ALL PORTS,2022-06,129312780488.0,53657990761.0,72409677980.0,70627762855.0,201722458468.0,124285753616.0
-,TOTAL FOR ALL PORTS,2022-07,129820170984.0,54201960732.0,70899774838.0,70081648152.0,200719945822.0,124283608884.0
-,TOTAL FOR ALL PORTS,2022-08,134487705042.0,54166527984.0,71251595953.0,72567998085.0,205739300995.0,126734526069.0
-,TOTAL FOR ALL PORTS,2022-09,122548612013.0,49662520584.0,67538653405.0,69698947178.0,190087265418.0,119361467762.0
-,TOTAL FOR ALL PORTS,2022-10,125687253563.0,49772656938.0,70454154564.0,75394965927.0,196141408127.0,125167622865.0
-,TOTAL FOR ALL PORTS,2022-11,112581108148.0,46991522365.0,67090757619.0,74011092734.0,179671865767.0,121002615099.0
-,TOTAL FOR ALL PORTS,2022-12,113256453644.0,45853468460.0,66514177022.0,75819813114.0,179770630666.0,121673281574.0
-,TOTAL FOR ALL PORTS,2023-01,117971300997.0,50483769248.0,62788776276.0,73019844323.0,180760077273.0,123503613571.0
-,TOTAL FOR ALL PORTS,2023-02,101405492689.0,43820371777.0,59595064429.0,68185594792.0,161000557118.0,112005966569.0
-,TOTAL FOR ALL PORTS,2023-03,109860341776.0,46659705129.0,68300201817.0,79021433903.0,178160543593.0,125681139032.0
-,TOTAL FOR ALL PORTS,2023-04,112171146381.0,47384630712.0,61750901245.0,71028452729.0,173922047626.0,118413083441.0
-,TOTAL FOR ALL PORTS,2023-05,116191793751.0,50675831878.0,61311515011.0,73903842512.0,177503308762.0,124579674390.0
-,TOTAL FOR ALL PORTS,2023-06,114343920615.0,50382238233.0,57027677911.0,69669677019.0,171371598526.0,120051915252.0
-,TOTAL FOR ALL PORTS,2023-07,118154887329.0,50275285730.0,59848431843.0,70653137993.0,178003319172.0,120928423723.0
-,TOTAL FOR ALL PORTS,2023-08,120034176941.0,50521673644.0,63668239601.0,74923058911.0,183702416542.0,125444732555.0
-,TOTAL FOR ALL PORTS,2023-09,115995369641.0,49555307674.0,63253212784.0,73180550391.0,179248582425.0,122735858065.0
-,TOTAL FOR ALL PORTS,2023-10,119985878403.0,47641253862.0,67244366427.0,81133762155.0,187230244830.0,128775016017.0
-,TOTAL FOR ALL PORTS,2023-11,108657969336.0,44925326269.0,63181349232.0,76740031174.0,171839318568.0,121665357443.0
-,TOTAL FOR ALL PORTS,2023-12,110821911349.0,45672022875.0,65646529204.0,85407547859.0,176468440553.0,131079570734.0
-,TOTAL FOR ALL PORTS,2024-01,115375212631.0,47951849091.0,58559394033.0,75660016665.0,173934606664.0,123611865756.0
-,TOTAL FOR ALL PORTS,2024-02,107254113494.0,45508289315.0,61597281699.0,77683039186.0,168851395193.0,123191328501.0
-,TOTAL FOR ALL PORTS,2024-03,112864121380.0,46951493303.0,66764118344.0,81129816877.0,179628239724.0,128081310180.0
-,TOTAL FOR ALL PORTS,2024-04,118485859127.0,50243939224.0,61599839771.0,72149288557.0,180085698898.0,122393227781.0
-,TOTAL FOR ALL PORTS,2024-05,122190685009.0,53389248829.0,62084718096.0,76098507355.0,184275403105.0,129487756184.0
-,TOTAL FOR ALL PORTS,2024-06,117034159066.0,49922853289.0,60254720143.0,76925426723.0,177288879209.0,126848280012.0
-,TOTAL FOR ALL PORTS,2024-07,128747440224.0,52752972890.0,61559733139.0,75287976884.0,190307173363.0,128040949774.0
-,TOTAL FOR ALL PORTS,2024-08,124691422060.0,50409464520.0,62558404202.0,77883012015.0,187249826262.0,128292476535.0
-,TOTAL FOR ALL PORTS,2024-09,124110260160.0,48716826741.0,59407355448.0,76529042128.0,183517615608.0,125245868869.0
