PORT,PORT_NAME,year_month,import_ves_val,import_ves_wgt,export_ves_val,export_ves_wgt,total_ves_val,total_ves_wgt
1410,"FRONT ROYAL, VA",2024-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-01,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2016-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-01,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2017-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-01,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2018-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2019-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2020-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2021-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-01,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2022-12,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-01,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-02,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-03,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-04,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-05,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-06,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-07,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-08,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-09,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-10,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-11,0.0,0.0,0.0,0.0,0.0,0.0
1412,"NEW RIVER VALLEY AIRPORT, VA",2023-12,0.0,0.0,0.0,0.0,0.0,0.0
1501,"WILMINGTON, NC",2016-01,348686565.0,216696326.0,317281649.0,114742185.0,665968214.0,331438511.0
1501,"WILMINGTON, NC",2016-02,413320148.0,330295779.0,406303490.0,198213725.0,819623638.0,528509504.0
1501,"WILMINGTON, NC",2016-03,365493069.0,252965027.0,353629967.0,103422716.0,719123036.0,356387743.0
1501,"WILMINGTON, NC",2016-04,422132330.0,347142884.0,397037892.0,187583844.0,819170222.0,534726728.0
1501,"WILMINGTON, NC",2016-05,399767294.0,262757671.0,294864231.0,126971801.0,694631525.0,389729472.0
1501,"WILMINGTON, NC",2016-06,375239300.0,276425131.0,351705161.0,129618380.0,726944461.0,406043511.0
1501,"WILMINGTON, NC",2016-07,453012885.0,296023028.0,349314471.0,133611560.0,802327356.0,429634588.0
1501,"WILMINGTON, NC",2016-08,450280352.0,338466642.0,406854902.0,134334937.0,857135254.0,472801579.0
1501,"WILMINGTON, NC",2016-09,322724095.0,226716188.0,359940140.0,115457062.0,682664235.0,342173250.0
1501,"WILMINGTON, NC",2016-10,286291669.0,281816958.0,282046349.0,73400829.0,568338018.0,355217787.0
1501,"WILMINGTON, NC",2016-11,200148145.0,256127635.0,324467845.0,131952231.0,524615990.0,388079866.0
1501,"WILMINGTON, NC",2016-12,239219256.0,186382735.0,407582825.0,100771344.0,646802081.0,287154079.0
1501,"WILMINGTON, NC",2017-01,156694507.0,163136144.0,232779329.0,237607581.0,389473836.0,400743725.0
1501,"WILMINGTON, NC",2017-02,254698129.0,304373803.0,277031139.0,98014873.0,531729268.0,402388676.0
1501,"WILMINGTON, NC",2017-03,239033857.0,171655861.0,388946647.0,196188318.0,627980504.0,367844179.0
1501,"WILMINGTON, NC",2017-04,250751484.0,196469685.0,327161780.0,168242656.0,577913264.0,364712341.0
1501,"WILMINGTON, NC",2017-05,221945358.0,165584586.0,387845582.0,206309851.0,609790940.0,371894437.0
1501,"WILMINGTON, NC",2017-06,351278935.0,335370430.0,314772845.0,139559149.0,666051780.0,474929579.0
1501,"WILMINGTON, NC",2017-07,277431784.0,143700878.0,595208488.0,217727952.0,872640272.0,361428830.0
1501,"WILMINGTON, NC",2017-08,323191781.0,276272463.0,259721613.0,196966046.0,582913394.0,473238509.0
1501,"WILMINGTON, NC",2017-09,361083502.0,204163304.0,360581855.0,154263843.0,721665357.0,358427147.0
1501,"WILMINGTON, NC",2017-10,363974205.0,296266613.0,648426117.0,231799560.0,1012400322.0,528066173.0
1501,"WILMINGTON, NC",2017-11,299785683.0,250298972.0,281454683.0,175206425.0,581240366.0,425505397.0
1501,"WILMINGTON, NC",2017-12,332879946.0,224117010.0,297377496.0,242719551.0,630257442.0,466836561.0
1501,"WILMINGTON, NC",2018-01,374404827.0,290515928.0,220404225.0,180558089.0,594809052.0,471074017.0
1501,"WILMINGTON, NC",2018-02,331114054.0,195956699.0,492915536.0,160942997.0,824029590.0,356899696.0
1501,"WILMINGTON, NC",2018-03,412109056.0,267369751.0,501386083.0,245756727.0,913495139.0,513126478.0
1501,"WILMINGTON, NC",2018-04,333627103.0,289460686.0,406247013.0,323068525.0,739874116.0,612529211.0
1501,"WILMINGTON, NC",2018-05,354951235.0,230173183.0,712379566.0,236680570.0,1067330801.0,466853753.0
1501,"WILMINGTON, NC",2018-06,378315923.0,206982538.0,463264324.0,329951714.0,841580247.0,536934252.0
1501,"WILMINGTON, NC",2018-07,428904818.0,249048028.0,342649592.0,135430767.0,771554410.0,384478795.0
1501,"WILMINGTON, NC",2018-08,460507972.0,311079411.0,489793567.0,204759897.0,950301539.0,515839308.0
1501,"WILMINGTON, NC",2018-09,351914861.0,247636218.0,220054309.0,113346332.0,571969170.0,360982550.0
1501,"WILMINGTON, NC",2018-10,360637919.0,157075313.0,608231532.0,195773591.0,968869451.0,352848904.0
1501,"WILMINGTON, NC",2018-11,338463980.0,211673048.0,531088305.0,164936192.0,869552285.0,376609240.0
1501,"WILMINGTON, NC",2018-12,383442653.0,361937088.0,291941773.0,188095281.0,675384426.0,550032369.0
1501,"WILMINGTON, NC",2019-01,324093974.0,211875375.0,649584611.0,184533737.0,973678585.0,396409112.0
1501,"WILMINGTON, NC",2019-02,342479252.0,280781025.0,377632267.0,217876768.0,720111519.0,498657793.0
1501,"WILMINGTON, NC",2019-03,408301890.0,244687295.0,559638834.0,183266132.0,967940724.0,427953427.0
1501,"WILMINGTON, NC",2019-04,423016824.0,224753384.0,346335736.0,226898284.0,769352560.0,451651668.0
1501,"WILMINGTON, NC",2019-05,431460628.0,290115565.0,442159546.0,182315000.0,873620174.0,472430565.0
1501,"WILMINGTON, NC",2019-06,417202489.0,246430638.0,441093602.0,205672806.0,858296091.0,452103444.0
1501,"WILMINGTON, NC",2019-07,425251142.0,215855271.0,500719221.0,155509239.0,925970363.0,371364510.0
1501,"WILMINGTON, NC",2019-08,452503782.0,305566635.0,689866854.0,213829259.0,1142370636.0,519395894.0
1501,"WILMINGTON, NC",2019-09,347190567.0,237634056.0,364689875.0,124088962.0,711880442.0,361723018.0
1501,"WILMINGTON, NC",2019-10,426730969.0,311567218.0,616617149.0,148280470.0,1043348118.0,459847688.0
1501,"WILMINGTON, NC",2019-11,439896352.0,352868963.0,425313023.0,223877417.0,865209375.0,576746380.0
1501,"WILMINGTON, NC",2019-12,403179780.0,329208577.0,444126407.0,206993536.0,847306187.0,536202113.0
1501,"WILMINGTON, NC",2020-01,400745378.0,233896215.0,283335708.0,141745241.0,684081086.0,375641456.0
1501,"WILMINGTON, NC",2020-02,450080630.0,244314328.0,281997774.0,232735233.0,732078404.0,477049561.0
1501,"WILMINGTON, NC",2020-03,331122603.0,223437972.0,436598524.0,235207816.0,767721127.0,458645788.0
1501,"WILMINGTON, NC",2020-04,337598297.0,271156903.0,491198611.0,185953083.0,828796908.0,457109986.0
1501,"WILMINGTON, NC",2020-05,368961179.0,325354566.0,254591648.0,249017122.0,623552827.0,574371688.0
1501,"WILMINGTON, NC",2020-06,277218271.0,216961515.0,232082217.0,181495846.0,509300488.0,398457361.0
1501,"WILMINGTON, NC",2020-07,435484785.0,247888123.0,461242266.0,276351957.0,896727051.0,524240080.0
1501,"WILMINGTON, NC",2020-08,377985396.0,194158292.0,333306055.0,185770387.0,711291451.0,379928679.0
1501,"WILMINGTON, NC",2020-09,353960859.0,206883890.0,249102647.0,149848625.0,603063506.0,356732515.0
1501,"WILMINGTON, NC",2020-10,387598391.0,184722172.0,315094818.0,270344598.0,702693209.0,455066770.0
1501,"WILMINGTON, NC",2020-11,375579895.0,302731530.0,328266266.0,220267940.0,703846161.0,522999470.0
1501,"WILMINGTON, NC",2020-12,354042395.0,271414567.0,300053056.0,209468011.0,654095451.0,480882578.0
1501,"WILMINGTON, NC",2021-01,357745625.0,241567334.0,248083180.0,214851914.0,605828805.0,456419248.0
1501,"WILMINGTON, NC",2021-02,414976310.0,273978703.0,285584467.0,124822724.0,700560777.0,398801427.0
1501,"WILMINGTON, NC",2021-03,490758300.0,266296121.0,425521741.0,177573171.0,916280041.0,443869292.0
1501,"WILMINGTON, NC",2021-04,448432600.0,242886527.0,476610460.0,265295041.0,925043060.0,508181568.0
1501,"WILMINGTON, NC",2021-05,462983184.0,255218174.0,422009274.0,186403142.0,884992458.0,441621316.0
1501,"WILMINGTON, NC",2021-06,464564789.0,277224786.0,588728834.0,275412662.0,1053293623.0,552637448.0
1501,"WILMINGTON, NC",2021-07,478252575.0,294865691.0,396137367.0,179655701.0,874389942.0,474521392.0
1501,"WILMINGTON, NC",2021-08,475585657.0,276696812.0,397759077.0,276009327.0,873344734.0,552706139.0
1501,"WILMINGTON, NC",2021-09,455856520.0,327211047.0,317490902.0,183277809.0,773347422.0,510488856.0
1501,"WILMINGTON, NC",2021-10,454493887.0,241039132.0,448839150.0,195973861.0,903333037.0,437012993.0
1501,"WILMINGTON, NC",2021-11,456123249.0,371849260.0,555053123.0,221465530.0,1011176372.0,593314790.0
1501,"WILMINGTON, NC",2021-12,467628314.0,213156605.0,392616854.0,250956769.0,860245168.0,464113374.0
1501,"WILMINGTON, NC",2022-01,463951320.0,252524777.0,541419553.0,201686537.0,1005370873.0,454211314.0
1501,"WILMINGTON, NC",2022-02,391306771.0,270157037.0,322910289.0,180394942.0,714217060.0,450551979.0
1501,"WILMINGTON, NC",2022-03,489427582.0,364526037.0,476496001.0,248197253.0,965923583.0,612723290.0
1501,"WILMINGTON, NC",2022-04,523806321.0,229845170.0,495868310.0,221884223.0,1019674631.0,451729393.0
1501,"WILMINGTON, NC",2022-05,634807289.0,291863921.0,429065673.0,210738335.0,1063872962.0,502602256.0
1501,"WILMINGTON, NC",2022-06,569478784.0,334561146.0,415955392.0,214909316.0,985434176.0,549470462.0
1501,"WILMINGTON, NC",2022-07,615701983.0,234989656.0,456194968.0,199211268.0,1071896951.0,434200924.0
1501,"WILMINGTON, NC",2022-08,561994464.0,165814867.0,542111950.0,236955600.0,1104106414.0,402770467.0
1501,"WILMINGTON, NC",2022-09,545827642.0,225071303.0,721898494.0,324450158.0,1267726136.0,549521461.0
1501,"WILMINGTON, NC",2022-10,655922382.0,349472937.0,504058218.0,280150589.0,1159980600.0,629623526.0
1501,"WILMINGTON, NC",2022-11,586501968.0,224186533.0,426638842.0,215744887.0,1013140810.0,439931420.0
1501,"WILMINGTON, NC",2022-12,688057983.0,322548957.0,482291664.0,256836583.0,1170349647.0,579385540.0
1501,"WILMINGTON, NC",2023-01,476370737.0,346156729.0,392763316.0,195282652.0,869134053.0,541439381.0
1501,"WILMINGTON, NC",2023-02,522839368.0,232987504.0,505160336.0,219582452.0,1027999704.0,452569956.0
1501,"WILMINGTON, NC",2023-03,653353522.0,230115850.0,546933821.0,260183463.0,1200287343.0,490299313.0
1501,"WILMINGTON, NC",2023-04,497619103.0,320749020.0,362931162.0,227563442.0,860550265.0,548312462.0
1501,"WILMINGTON, NC",2023-05,663727878.0,408803102.0,440081785.0,231857422.0,1103809663.0,640660524.0
1501,"WILMINGTON, NC",2023-06,605009725.0,365661778.0,620454582.0,324527840.0,1225464307.0,690189618.0
1501,"WILMINGTON, NC",2023-07,540309749.0,252077004.0,410361667.0,243928061.0,950671416.0,496005065.0
1501,"WILMINGTON, NC",2023-08,514650065.0,297047386.0,489236352.0,221124570.0,1003886417.0,518171956.0
1501,"WILMINGTON, NC",2023-09,547111022.0,196409559.0,725344532.0,321760783.0,1272455554.0,518170342.0
1501,"WILMINGTON, NC",2023-10,557934550.0,295135853.0,386742302.0,207381476.0,944676852.0,502517329.0
1501,"WILMINGTON, NC",2023-11,504287773.0,207882670.0,362109428.0,237107930.0,866397201.0,444990600.0
1501,"WILMINGTON, NC",2023-12,503207550.0,233031808.0,646732697.0,307488882.0,1149940247.0,540520690.0
1501,"WILMINGTON, NC",2024-01,507427103.0,263720148.0,427343309.0,99310161.0,934770412.0,363030309.0
1501,"WILMINGTON, NC",2024-02,588088219.0,269817689.0,398449903.0,246940882.0,986538122.0,516758571.0
1501,"WILMINGTON, NC",2024-03,684293960.0,319795123.0,440929148.0,202885909.0,1125223108.0,522681032.0
1501,"WILMINGTON, NC",2024-04,674191749.0,412620738.0,793399040.0,272049557.0,1467590789.0,684670295.0
1501,"WILMINGTON, NC",2024-05,666127969.0,293807610.0,510172232.0,241481315.0,1176300201.0,535288925.0
1501,"WILMINGTON, NC",2024-06,614713117.0,349931105.0,405687807.0,222983523.0,1020400924.0,572914628.0
1501,"WILMINGTON, NC",2024-07,711734025.0,280647869.0,490411431.0,250452856.0,1202145456.0,531100725.0
1501,"WILMINGTON, NC",2024-08,886578525.0,243957154.0,680866284.0,205707737.0,1567444809.0,449664891.0
1501,"WILMINGTON, NC",2024-09,665319150.0,239710820.0,424775662.0,189012178.0,1090094812.0,428722998.0
1501,"WILMINGTON, NC",2024-10,493676105.0,266172126.0,466146504.0,195677363.0,959822609.0,461849489.0
1501,"WILMINGTON, NC",2024-11,637076183.0,299674910.0,732494950.0,261326303.0,1369571133.0,561001213.0
1501,"WILMINGTON, NC",2024-12,622378438.0,247217607.0,367637767.0,172177634.0,990016205.0,419395241.0
1502,"WINSTON-SALEM, NC",2016-01,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-02,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-03,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-04,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-05,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-07,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-08,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-09,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-10,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-11,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2016-12,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-01,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-02,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-03,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-04,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-05,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-07,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-08,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-09,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-10,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-11,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2017-12,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-01,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-02,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-03,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-04,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-05,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-07,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-08,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-09,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-10,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-11,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2018-12,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-01,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-02,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-03,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-04,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-05,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-07,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-08,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-09,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-10,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-11,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2019-12,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-01,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-02,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-03,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-04,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-05,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-06,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-07,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-08,0.0,0.0,0.0,0.0,0.0,0.0
1502,"WINSTON-SALEM, NC",2020-09,0.0,0.0,0.0,0.0,0.0,0.0
