country,port_name,wpi_id,lat,lon,year_month,n_images,sar_diff_median,sar_diff_mean,vh_median_mean,vh_max_mean
Russia,De Kastri,60810.0,51.466667,140.783333,2016-01,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-02,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-03,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-04,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-05,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-06,1,,,2.665705004785975,2.665705004785975
Russia,De Kastri,60810.0,51.466667,140.783333,2016-07,1,,,2.8288630401550687,2.8288630401550687
Russia,De Kastri,60810.0,51.466667,140.783333,2016-08,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-09,0,,,,
Russia,De Kastri,60810.0,51.466667,140.783333,2016-10,3,392.82781950028675,392.82781950028675,2.5639100721304713,3.4558630122637597
Russia,De Kastri,60810.0,51.466667,140.783333,2016-11,3,159.4958057053327,159.4958057053327,5.204071512759996,3.4463667765091204
Russia,De Kastri,60810.0,51.466667,140.783333,2016-12,4,277.66246625385776,304.65188112291844,3.5694084875573022,4.11450005120284
Russia,De Kastri,60810.0,51.466667,140.783333,2017-01,5,215.96500145540494,216.2672175913158,2.42990351756257,1.8613704241684048
Russia,De Kastri,60810.0,51.466667,140.783333,2017-02,6,152.67431873251516,169.45323974849867,,3.0075630078272377
Russia,De Kastri,60810.0,51.466667,140.783333,2017-03,12,146.65670478563743,253.09884303271494,,3.5652935608350553
Russia,De Kastri,60810.0,51.466667,140.783333,2017-04,11,0.0,86.71503213425679,-1.851693913941642,2.7233802863328176
Russia,De Kastri,60810.0,51.466667,140.783333,2017-05,7,189.9844129271362,191.2702696164744,,3.2486483348734683
Russia,De Kastri,60810.0,51.466667,140.783333,2017-06,11,0.0,82.77624540077213,-7.826396756579051,3.014450914705809
Russia,De Kastri,60810.0,51.466667,140.783333,2017-07,9,99.35068354674102,129.1462428602858,-2.641774320762418,2.9927834281046333
Russia,De Kastri,60810.0,51.466667,140.783333,2017-08,11,0.0,95.1793610108887,-2.3200987999867357,3.185154883651079
Russia,De Kastri,60810.0,51.466667,140.783333,2017-09,9,74.0516093012504,95.5905623002229,-7.1042073257772245,3.4389993040827296
Russia,De Kastri,60810.0,51.466667,140.783333,2017-10,11,0.0,95.11638013461564,0.9801276884487403,3.30316833987554
Russia,De Kastri,60810.0,51.466667,140.783333,2017-11,10,141.2604773762283,106.20963606047496,,3.096973668643755
Russia,De Kastri,60810.0,51.466667,140.783333,2017-12,11,73.63912648808676,114.27485661215208,,3.001335129955563
Russia,De Kastri,60810.0,51.466667,140.783333,2018-01,11,0.0,96.78799102751809,,3.5425126926478083
Russia,De Kastri,60810.0,51.466667,140.783333,2018-02,8,0.0,71.67357293678602,,3.051494462076535
Russia,De Kastri,60810.0,51.466667,140.783333,2018-03,10,122.66050607603341,108.25863088957006,,3.4603502858612436
Russia,De Kastri,60810.0,51.466667,140.783333,2018-04,10,0.0,90.398392421638,,3.4384409617440967
Russia,De Kastri,60810.0,51.466667,140.783333,2018-05,8,0.0,137.0708514782493,4.6967022019851274,2.8110078792668602
Russia,De Kastri,60810.0,51.466667,140.783333,2018-06,7,0.0,93.77367347179761,1.1349232201075994,3.010334088204415
Russia,De Kastri,60810.0,51.466667,140.783333,2018-07,8,0.0,68.49418111946234,4.7349880605511245,3.590306529747487
Russia,De Kastri,60810.0,51.466667,140.783333,2018-08,9,107.6469668546177,130.0554761923198,,2.9389626871477934
Russia,De Kastri,60810.0,51.466667,140.783333,2018-09,10,0.0,59.715166285191145,,3.4854698400159907
Russia,De Kastri,60810.0,51.466667,140.783333,2018-10,8,0.0,103.04954225068398,,2.790169126553313
Russia,De Kastri,60810.0,51.466667,140.783333,2018-11,8,0.0,78.04549085799606,4.203879023223204,2.832506827161049
Russia,De Kastri,60810.0,51.466667,140.783333,2018-12,8,0.0,86.74172753213244,,3.7937696919041914
Russia,De Kastri,60810.0,51.466667,140.783333,2019-01,11,36.33805555574163,62.68555620441673,-6.916338648617013,2.5953334308291374
Russia,De Kastri,60810.0,51.466667,140.783333,2019-02,7,0.0,57.028145952298644,,3.427786790543292
Russia,De Kastri,60810.0,51.466667,140.783333,2019-03,8,0.0,53.95642006288938,6.089355991005502,3.0003881202339575
Russia,De Kastri,60810.0,51.466667,140.783333,2019-04,7,0.0,86.86889094826903,1.384302141031681,3.2549357812184305
Russia,De Kastri,60810.0,51.466667,140.783333,2019-05,9,0.0,105.0278193055301,1.8531299039109703,3.8429708590115244
Russia,De Kastri,60810.0,51.466667,140.783333,2019-06,6,0.0,110.18845202064456,0.13062156748316667,2.6328419711617546
Russia,De Kastri,60810.0,51.466667,140.783333,2019-07,8,0.0,85.36374873189291,4.997125340131486,2.8416368221379216
Russia,De Kastri,60810.0,51.466667,140.783333,2019-08,8,0.0,78.12432149366808,4.180080566109741,3.1425163105011795
Russia,De Kastri,60810.0,51.466667,140.783333,2019-09,7,0.0,89.58513735089355,0.5500505788805334,2.6848404521902847
Russia,De Kastri,60810.0,51.466667,140.783333,2019-10,8,0.0,68.45969658125799,5.699486675178467,2.9156179130263005
Russia,De Kastri,60810.0,51.466667,140.783333,2019-11,7,0.0,80.05306869363768,2.183889349623371,2.8446331181647406
Russia,De Kastri,60810.0,51.466667,140.783333,2019-12,9,0.0,64.89402569843838,4.378278534078276,3.165715197636367
Russia,De Kastri,60810.0,51.466667,140.783333,2020-01,10,125.61766278741499,120.9939347097422,-1.7160309095829294,2.8606710435930456
Russia,De Kastri,60810.0,51.466667,140.783333,2020-02,8,0.0,47.32002028537091,7.269583873906375,2.1680395876203624
Russia,De Kastri,60810.0,51.466667,140.783333,2020-03,7,0.0,73.20275367069995,2.955752224474292,1.8397909897949496
Russia,De Kastri,60810.0,51.466667,140.783333,2020-04,8,0.0,88.05579269169046,5.322067343910465,2.6243436079775297
Russia,De Kastri,60810.0,51.466667,140.783333,2020-05,7,0.0,128.27919366528647,2.0815035590646795,2.3827745953966475
Russia,De Kastri,60810.0,51.466667,140.783333,2020-06,9,0.0,147.89310443166755,-1.9786831158119509,3.283045655830412
Russia,De Kastri,60810.0,51.466667,140.783333,2020-07,11,0.0,138.45380721435194,,3.495534700108713
Russia,De Kastri,60810.0,51.466667,140.783333,2020-08,8,0.0,146.49180973070852,,3.6386939875405635
Russia,De Kastri,60810.0,51.466667,140.783333,2020-09,8,0.0,95.40763980443093,5.903880782560456,3.562102325938568
Russia,De Kastri,60810.0,51.466667,140.783333,2020-10,7,0.0,109.90539983612791,1.0088985508340824,3.662031260665456
Russia,De Kastri,60810.0,51.466667,140.783333,2020-11,8,0.0,65.00764595914413,5.49695212687539,3.8883293693243894
Russia,De Kastri,60810.0,51.466667,140.783333,2020-12,7,0.0,96.44188931380882,-0.2696520472353454,3.638356148440866
Russia,De Kastri,60810.0,51.466667,140.783333,2021-01,7,0.0,46.471358028976056,5.437371552322483,3.293406820078203
Russia,De Kastri,60810.0,51.466667,140.783333,2021-02,7,0.0,58.337121718658835,1.454874855203044,3.1815342202289707
