country,port_name,wpi_id,lat,lon,year_month,n_images,sar_diff_median,sar_diff_mean,vh_median_mean,vh_max_mean
United States,Grasselli,7900.0,40.616667,-74.2,2016-01,0,,,,
United States,Grasselli,7900.0,40.616667,-74.2,2016-02,0,,,,
United States,Grasselli,7900.0,40.616667,-74.2,2016-03,1,,,0.9815331472779593,0.9815331472779593
United States,Grasselli,7900.0,40.616667,-74.2,2016-04,2,2480.520906297715,2480.520906297715,1.3714662605737338,1.2602108135960448
United States,Grasselli,7900.0,40.616667,-74.2,2016-05,1,,,0.5959239479629711,0.5959239479629711
United States,Grasselli,7900.0,40.616667,-74.2,2016-06,1,,,0.8253129741054256,0.8253129741054256
United States,Grasselli,7900.0,40.616667,-74.2,2016-07,4,6201.494125132646,15103.090478703627,0.949087398548483,0.8182019550797225
United States,Grasselli,7900.0,40.616667,-74.2,2016-08,1,,,1.4061140283913554,1.4061140283913554
United States,Grasselli,7900.0,40.616667,-74.2,2016-09,2,28833.67129800629,28833.67129800629,0.5971966262816814,1.038186222141611
United States,Grasselli,7900.0,40.616667,-74.2,2016-10,5,5843.288590202545,6042.641166500697,0.7953232372133779,1.183679650581079
United States,Grasselli,7900.0,40.616667,-74.2,2016-11,6,4931.504397616253,5649.631036670648,0.8048240418913615,0.9414865226363767
United States,Grasselli,7900.0,40.616667,-74.2,2016-12,5,7441.71107377648,7481.600839951847,0.5873281750843218,0.8983477804221299
United States,Grasselli,7900.0,40.616667,-74.2,2017-01,5,7421.967410626581,7192.453762344117,0.5430140446019593,0.9513966229908573
United States,Grasselli,7900.0,40.616667,-74.2,2017-02,4,6073.761074452743,5850.020714547461,0.31539077444899855,0.8388270657227038
United States,Grasselli,7900.0,40.616667,-74.2,2017-03,4,5342.949189234384,5705.3910869756655,0.6627636649798365,0.9311394552232664
United States,Grasselli,7900.0,40.616667,-74.2,2017-04,5,6020.306655511604,6464.227258594357,0.5477076429242042,1.047900530920777
United States,Grasselli,7900.0,40.616667,-74.2,2017-05,4,5711.921986421739,5764.646382198297,0.8082092293716118,0.9127073934033357
United States,Grasselli,7900.0,40.616667,-74.2,2017-06,4,6662.627597059689,6246.844972810999,0.3097208212823847,0.7644448412638181
United States,Grasselli,7900.0,40.616667,-74.2,2017-07,5,6091.323601572509,6169.959181118785,0.26532122323666013,0.6723025266224697
United States,Grasselli,7900.0,40.616667,-74.2,2017-08,5,7622.49716583536,7539.397908428509,0.4113084181520008,1.0762562301787328
United States,Grasselli,7900.0,40.616667,-74.2,2017-09,5,5039.201776169544,5175.385093243978,0.5989797061701114,0.6700823785490242
United States,Grasselli,7900.0,40.616667,-74.2,2017-10,4,5802.970007865611,5675.112915070934,0.6111805128535724,0.7444167943844724
United States,Grasselli,7900.0,40.616667,-74.2,2017-11,5,7292.626243898565,6756.698873945545,0.3989648499956124,0.994506454619379
United States,Grasselli,7900.0,40.616667,-74.2,2017-12,6,6699.749457912574,6450.977220623381,0.35182788977496166,0.8058897778967556
United States,Grasselli,7900.0,40.616667,-74.2,2018-01,5,6466.79489309093,6707.861566953312,0.19963522202827905,1.1394125727103488
United States,Grasselli,7900.0,40.616667,-74.2,2018-02,3,6833.191442822235,6833.191442822235,0.9883169619714547,0.9837644092134876
United States,Grasselli,7900.0,40.616667,-74.2,2018-03,5,5501.20767963618,5664.754231757124,0.7786106355859851,1.4485883450011234
United States,Grasselli,7900.0,40.616667,-74.2,2018-04,6,5019.750222796425,5206.177601867926,0.9625895532595325,1.1506672244989082
United States,Grasselli,7900.0,40.616667,-74.2,2018-05,5,3955.5595087946367,4132.059459928868,0.7272669219405873,1.0879467638035132
United States,Grasselli,7900.0,40.616667,-74.2,2018-06,5,4306.867062684343,4434.194440449688,1.278374589153116,1.3371446294965452
United States,Grasselli,7900.0,40.616667,-74.2,2018-07,5,5399.058329498135,5325.514994074098,1.1651325699607193,1.2549845191973497
