country,port_name,wpi_id,lat,lon,year_month,n_images,sar_diff_median,sar_diff_mean,vh_median_mean,vh_max_mean,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio,region,tidal_range_m,entrance_width_m,channel_depth_m,anchorage_depth_m,cargo_pier_depth_m,oil_terminal_depth_m,lng_terminal_depth_m,max_vessel_length_m,max_vessel_beam_m,max_vessel_draft_m,offshore_max_vessel_length_m,offshore_max_vessel_beam_m,offshore_max_vessel_draft_m,harbor_size,harbor_type,harbor_use,shelter_afforded,ent_restr_tide,ent_restr_swell,ent_restr_ice,ent_restr_other,overhead_limits,underkeel_mgmt,good_holding_ground,turning_area,traffic_sep_scheme,vessel_traffic_svc,navarea,search_rescue,port_security,eta_message,quarantine_pratique,quarantine_sanitation,quarantine_other,first_port_of_entry,us_representative,pilotage_compulsory,pilotage_available,pilotage_local_assist,pilotage_advisable,tugs_salvage,tugs_assistance,comm_telephone,comm_telefax,comm_radio,comm_radiotelephone,comm_airport,comm_rail,fac_wharves,fac_anchorage,fac_dangerous_cargo,fac_med_mooring,fac_beach_mooring,fac_ice_mooring,fac_roro,fac_solid_bulk,fac_liquid_bulk,fac_container,fac_breakbulk,fac_oil_terminal,fac_lng_terminal,fac_other,medical_facilities,garbage_disposal,chemical_tank_disposal,dirty_ballast_disposal,degaussing,cranes_fixed,cranes_mobile,cranes_floating,cranes_container,lifts_100_tons,lifts_50_100_tons,lifts_25_49_tons,lifts_0_24_tons,svc_longshoremen,svc_electricity,svc_steam,svc_nav_equip,svc_electrical_repair,svc_ice_breaking,svc_diving,sup_provisions,sup_potable_water,sup_fuel_oil,sup_diesel_oil,sup_aviation_fuel,sup_deck,sup_engine,repairs,dry_dock
Russia,Vyborg,28300.0,60.716667,28.75,2016-11,7,4937.132845354046,4883.583248654071,-0.166283752748725,2.658576596223373,30,16646.722068350693,56.826159671076674,266.5361328125,53.21348158311373,0.8666898712147579,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2016-12,7,3935.091967222485,4801.200199996453,0.364720372162657,2.573479090453499,31,11604.152756096264,39.612569649324605,224.0986175537109,40.59682888293774,0.8563290404919363,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-01,7,3068.2003119977303,3710.176018730313,0.0746709923567354,2.871928030157345,31,8730.047389156794,29.80136658949107,111.3040771484375,27.519186731664806,0.8666898712147579,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-02,8,2956.681365862442,3261.0550037806,0.4746204700927559,2.786913552806752,28,15676.928300528532,53.51561869658335,238.1748275756836,55.21360904399357,0.8663185984452951,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-03,7,3919.176019465169,4201.7728005961535,-0.1680383328293059,2.6106122625388646,31,7091.1867998018015,24.20686256960455,115.84571838378906,27.09408465904137,0.8666898712147579,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-04,8,4376.269379564948,4980.661535772939,0.2813413667182345,2.7263375241440024,30,6462.705769116385,22.061445396582045,120.24080657958984,25.67975813707897,0.8663185984452951,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-05,20,4058.289997465176,4046.6501066625992,-0.4751580678630479,3.1096316776785047,31,10153.74263388573,35.49432288703938,165.5927734375,37.0788476577166,0.8642497482376634,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-06,21,4940.12154589905,4564.758741487657,-0.0988136915626929,3.026307665559101,30,0.0,,,,,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-07,22,4152.773624723516,3619.330064698746,-1.3050070148305422,3.1434973921477,31,0.0,,,,,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-08,19,4464.959919159666,3769.352367102229,-0.0512888684101778,3.092170730738179,31,5738.719025362941,19.59000470505422,87.54599380493164,20.15053211925512,0.8641025641025639,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-09,22,5240.517629408529,4595.089412891482,-0.2432914739545801,3.1597931388897926,30,4873.326405504405,16.6358531914809,86.60625457763672,19.00468011969277,0.8666898712147579,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-10,22,5312.804231807046,4704.149155308895,-0.7470551927035786,2.956799023924724,31,4737.33278720192,16.17161794827965,82.80194854736328,17.632905159914145,0.8666898712147579,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
Russia,Vyborg,28300.0,60.716667,28.75,2017-11,18,5540.698100224414,5034.354438207073,0.036818519137858,2.905930774332877,30,3480.247229790629,11.880362029405765,61.05669784545898,11.370059031830204,0.8637312913331011,Russia -- 28250,2.0,0.0,6.4,11.0,6.4,0.0,0.0,150.0,25.0,6.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Good,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,I,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Limited,Unknown
